Entry,Move,Exit
LBO,Cross Step,RBI
RBI,Step,LFO
LFO,Forward Camel Spin,RBO
RBO,Under Push,RBI
RBI,Push,RBO
RBO,Three Turn,RFI
RFI,Step,LFO
LFO,Push,LFO
LFO,Waltz Jump,RBO
RBO,Step,LFO
LFO,Crossover,LFO
LFO,Step,RFI
RFI,Mohawk,LBI
LBI,Salchow,RBO
RBO,Step,LFO
LFO,Crossover,LFO
LFO,Cross Step,RFI
RFI,Step,LFI
LFI,Mohawk,RBI
RBI,Cross Step,LBI
LBI,Step,RBO
RBO,Three Turn,RFI
RFI,Mohawk,LBI
LBI,Crossover,LBO
LBO,Crossover,LBO
LBO,Lutz,RBO
RBO,Under Push,RBI
RBI,Step,LFO
LFO,Forward Sit Spin,RBO
