Entry,Move,Exit
RBO,Backspin,RBO
RBO,Step,LFO
LFO,Step,RFI
RFI,Three Turn,RBO
RBO,Pivot,RBO
RBO,Step,LFO
LFO,Three Turn,LBI
LBI,Step,RBO
RBO,Three Turn,RFI
RFI,Mohawk,LBI
LBI,Crossover,LBO
LBO,Crossover,LBO
LBO,Crossover,LBO
LBO,Lutz,RBO
RBO,Loop,RBO
RBO,Step,LFO
LFO,Crossover,LFO
LFO,Three Turn,LBI
LBI,Step,RBO
RBO,Step,LFO
LFO,Crossover,LFO
LFO,Spiral,LFO
LFO,Three Turn,LBI
LBI,Flip,RBO
RBO,Toe Loop,RBO
RBO,Loop,RBO
RBO,Step,LFO
LFO,Step,RFI
RFI,Spread Eagle,RFI
RFI,Three Turn,RBO
RBO,Step,LFO
LFO,Forward Sit Spin,RBO
RBO,Back Upright Spin,RBO
RBO,Step,RFO
RFO,Step,LFI
LFI,Weight Change,LFO
LFO,Step,RFO
RFO,Three Turn,RBI
RBI,Step,LBO
LBO,Crossover,LBO
LBO,Crossover,LBO
LBO,Lutz,RBO
