Entry,Move,Exit
RBO,Backspin,RBO
RBO,Step,LFO
LFO,Step,RFI
RFI,Step,LFI
LFI,Three Turn,LBO
LBO,Step,RFO
RFO,Step,LFI
LFI,Spread Eagle,LFI
LFI,Mohawk,RBI
RBI,Step,LBO
LBO,Weight Change,LBI
LBI,Step,RBO
RBO,Step,LBI
LBI,Step,RFO
RFO,Forward Camel Spin,LBO
LBO,Step,RFO
RFO,Step,LFI
LFI,Step,RFO
RFO,Step,LFI
LFI,Step,RFO
RFO,Step,LFI
LFI,Mohawk,RBI
RBI,Step,LBO
LBO,Step,RBI
RBI,Step,LBO
LBO,Step,RFO
RFO,Three Turn,RBI
RBI,Salchow,LBO
LBO,Toe Loop,LBO
LBO,Step,RFO
RFO,Step,LFI
LFI,Step,RFO
RFO,Step,LFO
LFO,Step,RFO
RFO,Three Turn,RBI
RBI,Step,LBO
LBO,Weight Change,LBI
LBI,Step,RBO
RBO,Step,LBI
LBI,Step,RFI
RFI,Step,LFI
LFI,Step,RFI
RFI,Push,RFO
RFO,Three Turn,RBI
RBI,Flip,LBO
LBO,Toe Loop,LBO
LBO,Loop,LBO
LBO,Three Turn,LFI
