Entry,Move,Exit
LBO,Backspin,LBO
LBO,Step,RFO
RFO,Step behind,LFI
LFI,Step,RFI
RFI,Mohawk,LBI
LBI,Step,RBO
RBO,Step,LFO
LFO,Three Turn,LBI
LBI,Step,RBO
RBO,Step,LBI
LBI,Crossover,LBO
LBO,Step,RBI
RBI,Crossover,RBO
RBO,Lutz,LBO
LBO,Step,RFO
RFO,Cross Step,LFI
LFI,Step,RFI
RFI,Three Turn,RBO
RBO,Step,LFO
LFO,Crossover,LFO
LFO,Crossover,LFO
LFO,Crossover,LFO
LFO,Cross Roll,RFO
RFO,Spiral,RFO
RFO,Step,LFI
LFI,Mohawk,RBI
RBI,Step,LBO
LBO,Step,RFO
RFO,Axel,LBO
LBO,Step,RFO
RFO,Step Behind,LFI
LFI,Step,RFI
RFI,Mohawk,LBI
LBI,Crossover,LBO
LBO,Cross Step,RBI
RBI,Step,LFO
LFO,Swing Roll,LFI
LFI,Mohawk,RBI
RBI,Step,LBO
LBO,Weight Change,LBI
LBI,Step,RBO
RBO,Cross Step,LBI
LBI,Step,RFO
RFO,Three Turn,RBI
RBI,Flip,LBO
LBO,Step,RFO
RFO,Three Turn,RBI
RBI,Cross Step,LBI
LBI,Step,RFO
RFO,Forward Camel Spin,RBI
RBI,Forward Camel Spin,LBO
LBO,Back Sit Spin,LBO
LBO,Snowplow Stop,RBO
